Product ID,Brand,Warranty Years,Material,Release Date,Sustainability Rating
FUR-BO-10001798,Apex,1,Metal,2023-10-17,C
FUR-CH-10000454,BizWorks,2,Paper,2020-12-13,A
OFF-LA-10000240,Apex,3,Paper,2022-09-25,A
FUR-TA-10000577,OfficePro,3,Glass,2019-05-02,A
OFF-ST-10000760,Apex,2,Composite,2012-02-10,B
FUR-FU-10001487,WorkSmart,1,Metal,2010-09-06,A
OFF-AR-10002833,Apex,5,Paper,2024-03-21,D
TEC-PH-10002275,BizWorks,3,Glass,2011-01-08,D
OFF-BI-10003910,Staples,3,Plastic,2018-01-05,D
OFF-AP-10002892,WorkSmart,3,Paper,2020-07-24,A
FUR-TA-10001539,WorkSmart,3,Wood,2023-07-02,D
TEC-PH-10002033,Apex,2,Wood,2011-12-03,D
OFF-PA-10002365,Global,3,Plastic,2015-12-26,D
OFF-BI-10003656,OfficePro,2,Composite,2012-07-30,B
OFF-AP-10002311,Acme,3,Metal,2020-09-19,C
OFF-BI-10000756,Acme,3,Metal,2023-12-10,A
OFF-ST-10004186,Staples,1,Paper,2012-03-04,C
OFF-ST-10000107,Acme,1,Wood,2011-11-09,A
OFF-AR-10003056,Acme,1,Composite,2014-04-11,B
TEC-PH-10001949,OfficePro,1,Composite,2021-02-05,D
OFF-BI-10002215,OfficePro,2,Composite,2011-03-29,B
OFF-AR-10000246,Global,3,Paper,2016-10-02,A
OFF-AP-10001492,BizWorks,1,Metal,2020-01-05,D
FUR-CH-10002774,Staples,2,Composite,2024-05-01,D
OFF-BI-10001634,Acme,5,Paper,2021-05-09,A
TEC-AC-10003027,Global,3,Paper,2020-04-12,C
FUR-BO-10004834,Staples,2,Plastic,2010-07-29,B
OFF-BI-10000474,WorkSmart,3,Fabric,2023-08-24,B
FUR-FU-10004848,Acme,2,Composite,2015-04-11,A
OFF-EN-10001509,Acme,1,Fabric,2023-07-17,A
OFF-AR-10004042,OfficePro,1,Metal,2020-11-10,A
OFF-BI-10001525,Apex,1,Paper,2015-02-21,A
OFF-AR-10001683,Staples,1,Glass,2011-09-19,D
OFF-PA-10000249,Acme,5,Composite,2017-06-19,B
TEC-PH-10004977,Staples,3,Glass,2013-12-29,C
FUR-FU-10003664,BizWorks,2,Wood,2017-09-25,C
OFF-EN-10002986,Global,2,Metal,2013-06-04,A
FUR-BO-10002545,Global,1,Plastic,2023-01-11,D
FUR-CH-10004218,Apex,3,Plastic,2021-12-12,C
TEC-PH-10000486,Acme,3,Fabric,2015-12-04,B
TEC-PH-10004093,BizWorks,1,Paper,2014-06-12,A
OFF-ST-10003479,OfficePro,1,Fabric,2015-01-28,C
OFF-ST-10003282,Acme,2,Wood,2012-01-24,C
TEC-AC-10000171,Staples,2,Wood,2015-02-12,C
OFF-BI-10003291,WorkSmart,2,Plastic,2024-02-16,A
OFF-ST-10001713,Global,2,Glass,2010-07-01,A
TEC-AC-10002167,Staples,2,Composite,2014-02-22,B
TEC-PH-10003988,Apex,1,Plastic,2012-06-21,B
OFF-BI-10004410,Global,1,Plastic,2019-02-27,A
OFF-LA-10002762,OfficePro,2,Glass,2024-05-05,B
FUR-FU-10001706,Global,3,Glass,2019-06-16,B
FUR-CH-10003061,WorkSmart,5,Wood,2019-11-17,C
OFF-FA-10000304,BizWorks,3,Glass,2016-12-31,B
TEC-PH-10002447,Acme,3,Fabric,2015-11-10,B
OFF-ST-10000604,WorkSmart,2,Wood,2021-08-15,C
OFF-PA-10001569,BizWorks,2,Glass,2015-12-05,D
FUR-CH-10003968,WorkSmart,5,Paper,2017-02-25,A
OFF-PA-10000587,Acme,1,Wood,2015-07-15,A
OFF-BI-10001460,Global,2,Wood,2017-09-22,D
OFF-AR-10001868,Apex,2,Plastic,2016-03-31,B
TEC-AC-10004633,Acme,2,Composite,2014-04-20,C
OFF-BI-10001078,Acme,1,Plastic,2015-05-27,B
OFF-PA-10003892,BizWorks,2,Metal,2020-11-30,A
FUR-FU-10000397,OfficePro,3,Wood,2016-02-23,B
FUR-CH-10001146,Global,2,Glass,2016-09-08,B
